n,t
1,2.97
2,2.77
3,2.84
4,3.16
5,2.82
6,3.15
7,2.78
8,2.77
9,2.76
10,2.83
11,2.84
12,2.89
13,3.16
14,2.84
15,2.78
16,2.63
17,2.58
18,2.90
19,2.70
20,2.98
21,2.64
22,2.76
23,2.57
24,3.03
25,2.89
26,3.03
27,2.63
28,2.77
29,3.03
30,3.02
31,2.64
32,3.03
33,2.97
34,2.71
35,2.58
36,2.83
37,2.71
38,2.70
39,2.76
40,3.22
41,3.10
42,2.77
43,2.90
44,2.56
45,2.77
46,2.45
47,2.77
48,2.51
49,2.83
50,2.56
51,2.91
52,2.79
53,2.94
54,3.10
55,2.77
56,2.77
57,3.11
58,2.96
59,2.73
60,2.92
61,2.73
62,2.73
63,2.86
64,2.47
65,2.50
66,2.71
67,2.63
68,2.88
69,2.65
70,2.56
71,3.09
72,2.78
73,2.83
74,2.56
75,2.72
76,2.84
77,2.61
78,2.89
79,2.71
80,2.76
81,2.71
82,3.16
83,2.82
84,2.62
85,2.97
86,2.59
87,2.86
88,2.46
89,2.57
90,2.85
91,2.95
92,2.85
93,2.80
94,2.76
95,2.55
96,2.69
97,2.73
98,3.01
99,2.88
100,2.49
